N               naive runtime(seconds)              threaded_cells runtime(seconds)
1000            3.661309                            2.686259
2000            52.603403                           9.752140
3000            182.134683                          20.536843
4000            489.936276                          37.232361
5000            902.394503                          58.316947
6000            1737.782109                         76.109766
7000            3036.712167                         104.926358
8000            4949.201052                         144.891975
9000            7530.235102                         174.729175
10000           10897.712063                        214.960471

N               threaded_rows runtime(seconds)     threaded_cols runtime(seconds)
1000            2.576079                            1.367604
2000            26.493128                           10.850344
3000            106.530787                          36.401574
4000            287.115047                          86.916739
5000            636.508000                          170.044724
6000            1215.898463                         292.001525
7000            2161.934352                         469.994696
8000            3674.324472                         704.444256
9000            5667.650288                         997.402038
10000           8394.965359                         1370.129877

N               rows_cached runtime(seconds)        own runtime(seconds)
1000            1.487692                            4.404287
2000            12.945908                           16.025470
3000            44.239779                           34.925434
4000            106.150755                          63.253852
5000            207.930154                          98.584892
6000            355.441179                          146.336207
7000            571.336254                          202.534459
8000            861.005645                          293.818712
9000            1234.409020                         358.011548
10000           1694.577959                         437.792684
